id;code;nom;type;emplacement;telephone;email;statut;date_creation
1;bogus;couch those boo;DUTY_FREE;consign blah idealistic;788-670-8301 x4794;Wilfredo.Funk@hotmail.com;ACTIF;2026-05-04T23:10:11
2;alb;armoire homely;DUTY_FREE;yak;1-996-526-5963 x2235;Dale_Sanford@hotmail.com;ACTIF;2026-05-04T15:02:06
3;minus officially;snoop however;RESTAURATION;mobilise;285.866.7591 x6681;Carmen84@yahoo.com;INACTIF;2026-05-04T13:22:50
4;limp;nor SUV;RESTAURATION;draw miserably gadzooks;896.233.2491 x65906;Courtney3@gmail.com;SUSPENDU;2026-05-05T06:12:16
5;well-made zowie;pfft;SERVICE;unknown confused chase;581.908.0560 x0499;Justin_Ritchie@hotmail.com;ACTIF;2026-05-05T01:00:51
6;energetically;hypothesise every beyond;SERVICE;miscalculate;499-634-7391 x7584;Olga14@yahoo.com;SUSPENDU;2026-05-04T17:56:19
7;yuck;aside large ew;COMMERCE;bah;1-704-559-2263;Aiyana94@yahoo.com;INACTIF;2026-05-05T05:47:59
8;duh swing gadzooks;lucky;COMMERCE;decouple than;671.794.6679;Nina.Cummerata94@gmail.com;INACTIF;2026-05-04T14:00:44
9;furthermore;meanwhile;RESTAURATION;colour vainly hmph;349.919.5231 x8989;Terry.Langosh42@yahoo.com;ACTIF;2026-05-04T13:59:25
10;who uniform considering;before satirize spirit;DUTY_FREE;unethically;562.472.2324 x7409;Patty.Thompson45@yahoo.com;INACTIF;2026-05-04T20:59:35
11;amidst qua rubbery;entry excitedly cleverly;RESTAURATION;scuttle extremely cruelty;958-792-8454 x5699;Bernice.Konopelski11@yahoo.com;INACTIF;2026-05-05T04:22:00
12;how waterspout;as until;AUTRE;fooey carelessly whopping;334-270-1006 x42397;Clara_Considine28@yahoo.com;ACTIF;2026-05-05T09:58:51
13;soliloquy atop;scarification;SERVICE;calmly as;554.269.4106 x80867;Boyd49@gmail.com;ACTIF;2026-05-04T19:17:36
14;zowie;stabilise;AUTRE;birth cannon unabashedly;(253) 317-0908 x261;Dameon22@hotmail.com;SUSPENDU;2026-05-04T15:57:11
15;galoshes;catch obedient;RESTAURATION;crowded;1-295-813-3407;Josefina_Funk-Wunsch60@gmail.com;INACTIF;2026-05-04T11:31:26
16;searchingly;portray tenderly;RESTAURATION;handy;328-942-3885 x835;Murl.Fisher-White@hotmail.com;INACTIF;2026-05-05T01:20:50
17;guest ice-cream calmly;onto;RESTAURATION;woot shark;(968) 586-8168 x72520;Lloyd4@gmail.com;SUSPENDU;2026-05-04T23:34:27
18;until technologist before;without;RESTAURATION;noisily;(555) 341-0802;Genoveva_Konopelski37@hotmail.com;INACTIF;2026-05-04T17:27:52
19;yowza;morbidity;DUTY_FREE;brr;860.671.3869 x55290;Raegan91@yahoo.com;SUSPENDU;2026-05-04T14:44:05
20;lovingly ew briefly;despite;COMMERCE;orange tall;1-940-323-7554 x68527;Roel_Zboncak76@yahoo.com;INACTIF;2026-05-04T16:34:43
21;cork loftily;impanel refine;RESTAURATION;recklessly sad unto;597-775-2535;Alicia_Ryan32@gmail.com;ACTIF;2026-05-04T13:04:29
22;boastfully;now;COMMERCE;about yahoo;339.989.5011;Edmund.Mante@yahoo.com;ACTIF;2026-05-05T04:45:11
23;zowie ah headline;descendant eek;SERVICE;hm a purple;(699) 308-1470 x3964;Meredith.Wintheiser@hotmail.com;INACTIF;2026-05-05T01:22:27
24;fervently;adumbrate vice mid;SERVICE;physical crackle;289.567.3041 x39396;Suzanne_Kovacek58@yahoo.com;ACTIF;2026-05-04T21:35:28
25;willfully whose shocked;hmph of;SERVICE;drat furthermore invite;261-456-2835 x3364;Eusebio.Keeling@gmail.com;INACTIF;2026-05-05T00:20:37
26;mantua mmm enroll;likable forsaken deceivingly;RESTAURATION;whose querulous;(754) 668-0690 x0379;Darrin39@hotmail.com;ACTIF;2026-05-05T07:09:22
27;forgo why;amid publication;RESTAURATION;massage skateboard;(446) 465-7921;Jaren_Witting@yahoo.com;INACTIF;2026-05-04T11:02:27
28;reservation well;consequently relieve give;AUTRE;when hello aw;(213) 740-4750 x167;Hannah_Ritchie@yahoo.com;ACTIF;2026-05-04T22:07:33
29;helpfully;nor;COMMERCE;intensely;700-488-7852 x666;Bob84@hotmail.com;INACTIF;2026-05-04T22:32:24
30;mountain;once;RESTAURATION;inside;(964) 390-1343 x568;Kathryn.Abbott97@gmail.com;ACTIF;2026-05-04T14:21:36
