id;reference;periode_debut;periode_fin;chiffre_affaires;montant_redevance;statut;date_calcul;boutique_id;locataire_id
1;slimy strident though;2026-05-05;2026-05-05;16179.67;19357.02;REGULARISEE;2026-05-05T05:58:46;1;1
2;until afore mostly;2026-05-05;2026-05-04;3954.95;13860.77;CALCULEE;2026-05-04T18:46:23;2;2
3;hastily before;2026-05-04;2026-05-05;6786.87;22539.74;ANNULEE;2026-05-04T13:56:21;3;3
4;but;2026-05-04;2026-05-05;30191.79;31006.35;REGULARISEE;2026-05-05T07:47:40;4;4
5;aw commonly;2026-05-04;2026-05-05;4522.02;22692.2;VALIDEE;2026-05-05T07:00:12;5;5
6;above absentmindedly;2026-05-05;2026-05-05;28940.42;6840.48;CALCULEE;2026-05-04T11:26:47;6;6
7;daddy gorgeous shabby;2026-05-04;2026-05-04;10111;7826.07;CALCULEE;2026-05-04T11:33:52;7;7
8;lack zowie or;2026-05-04;2026-05-05;7659.91;8035.19;PAYEE;2026-05-04T12:32:45;8;8
9;ew dissemble border;2026-05-05;2026-05-04;14511.23;6907.14;PARTIELLEMENT_PAYEE;2026-05-04T23:50:22;9;9
10;pish second-hand membership;2026-05-04;2026-05-05;26188.61;25090.49;VALIDEE;2026-05-05T08:42:21;10;10
11;pro lest;2026-05-04;2026-05-05;2933.28;1274.12;REGULARISEE;2026-05-04T20:27:12;11;11
12;inscribe redound infinite;2026-05-04;2026-05-04;18597.67;82.91;REGULARISEE;2026-05-04T10:20:17;12;12
13;fondly;2026-05-04;2026-05-05;21381.81;2815.3;REGULARISEE;2026-05-04T19:25:24;13;13
14;darling blah swiftly;2026-05-05;2026-05-05;1609.47;23365.49;PAYEE;2026-05-05T03:11:33;14;14
15;deceivingly biodegradable scar;2026-05-04;2026-05-04;1250.61;3110.73;CALCULEE;2026-05-05T01:59:49;15;15
16;nougat ack;2026-05-04;2026-05-04;4852.88;18312.74;PAYEE;2026-05-05T05:02:31;16;16
17;thorn once pace;2026-05-04;2026-05-05;24579.46;23055.5;VALIDEE;2026-05-05T07:44:59;17;17
18;bogus absent affect;2026-05-04;2026-05-05;15994.85;8557.55;PARTIELLEMENT_PAYEE;2026-05-04T18:51:26;18;18
19;yet;2026-05-04;2026-05-04;13713.81;27084.56;ANNULEE;2026-05-04T23:59:02;19;19
20;release;2026-05-04;2026-05-05;17055.72;23816.02;VALIDEE;2026-05-04T12:42:58;20;20
21;huzzah farmer;2026-05-04;2026-05-04;27654.16;21565.51;CALCULEE;2026-05-04T16:53:18;21;21
22;derby import against;2026-05-04;2026-05-05;15998.42;11810.06;VALIDEE;2026-05-04T20:18:23;22;22
23;ironclad consequently phew;2026-05-05;2026-05-05;973.32;31388.66;ANNULEE;2026-05-04T17:26:16;23;23
24;onto;2026-05-05;2026-05-04;4319.04;4109.3;CALCULEE;2026-05-04T22:01:31;24;24
25;gah ouch;2026-05-04;2026-05-04;10902.5;4197.21;PARTIELLEMENT_PAYEE;2026-05-05T07:31:47;25;25
26;marksman wherever;2026-05-04;2026-05-04;24147.74;19986.07;ANNULEE;2026-05-04T18:15:46;26;26
27;upon vacantly;2026-05-04;2026-05-05;16528.87;31093.45;ANNULEE;2026-05-04T14:09:33;27;27
28;ew hm amidst;2026-05-05;2026-05-05;4603.84;30871.22;REGULARISEE;2026-05-04T21:42:23;28;28
29;lest strictly rejoin;2026-05-05;2026-05-05;11233.34;2332.3;PARTIELLEMENT_PAYEE;2026-05-04T21:56:34;29;29
30;entomb;2026-05-05;2026-05-05;20230.72;6458.3;PARTIELLEMENT_PAYEE;2026-05-04T10:39:57;30;30
