id;quantite;imprimee;date_impression;produit_id;lot_id
1;20511;true;2026-05-04T12:19:22;1;1
2;15841;true;2026-05-05T03:03:44;2;2
3;18747;true;2026-05-05T01:05:04;3;3
4;6230;false;2026-05-05T03:27:16;4;4
5;10502;false;2026-05-04T13:58:23;5;5
6;3354;false;2026-05-05T02:24:14;6;6
7;31781;true;2026-05-05T01:54:35;7;7
8;3696;true;2026-05-04T18:06:31;8;8
9;4801;true;2026-05-05T04:44:25;9;9
10;9506;false;2026-05-04T16:15:55;10;10
11;18768;false;2026-05-04T11:09:46;11;11
12;14524;false;2026-05-04T16:46:07;12;12
13;7370;true;2026-05-05T04:25:32;13;13
14;19716;true;2026-05-04T23:54:09;14;14
15;231;false;2026-05-05T03:35:29;15;15
16;26646;true;2026-05-05T04:40:36;16;16
17;3771;true;2026-05-04T11:33:16;17;17
18;27166;true;2026-05-05T04:02:46;18;18
19;28153;true;2026-05-05T09:42:37;19;19
20;14849;false;2026-05-05T09:49:09;20;20
21;21136;true;2026-05-04T22:26:22;21;21
22;21622;true;2026-05-04T18:01:21;22;22
23;31499;false;2026-05-04T14:55:13;23;23
24;6621;false;2026-05-04T12:44:07;24;24
25;20542;true;2026-05-04T18:53:07;25;25
26;8394;false;2026-05-04T17:14:50;26;26
27;23069;true;2026-05-05T08:12:04;27;27
28;15245;false;2026-05-05T04:20:59;28;28
29;8270;false;2026-05-05T03:17:33;29;29
30;13144;true;2026-05-04T13:24:21;30;30
