id;code;libelle;statut;groupe_article_id
1;between boo;place reconsideration forsaken;ACTIF;1
2;how;down finally wherever;SUSPENDU;2
3;fairly ugh oof;tank above;ACTIF;3
4;vice kosher know;gosh skeleton;SUSPENDU;4
5;meanwhile puny;apropos although content;SUSPENDU;5
6;for;why during shred;SUSPENDU;6
7;mid midst powerless;bah proselytise idle;SUSPENDU;7
8;tiny whoever hence;smoggy;INACTIF;8
9;except kosher detective;slink cute spattering;ACTIF;9
10;excepting however;gloat embossing potentially;SUSPENDU;10
11;hoick knowingly;offset;ACTIF;11
12;gazebo usher besides;drat;SUSPENDU;12
13;well-off boohoo;mousse academics;INACTIF;13
14;basic whenever;milky that;INACTIF;14
15;whose nougat gah;er hm;INACTIF;15
16;yippee sizzling;ugh best-seller brace;ACTIF;16
17;alongside daily instead;detective;ACTIF;17
18;since oh um;expensive malfunction bookcase;ACTIF;18
19;bug solvency ah;disconnection;INACTIF;19
20;never remand from;petty deliberately pertinent;INACTIF;20
21;step as oh;blink lady afore;ACTIF;21
22;jump;suspiciously slope generously;ACTIF;22
23;noteworthy precedent;portly;ACTIF;23
24;revoke brown;but;INACTIF;24
25;along mathematics;unlike;ACTIF;25
26;row;uncork absolve for;INACTIF;26
27;that like behind;for an;ACTIF;27
28;athwart;violently uncomfortable;INACTIF;28
29;superb;unibody roughly;SUSPENDU;29
30;habit epic;milky while;INACTIF;30
