id;code;libelle;statut;boutique_id
1;garage educated;hm;INACTIF;1
2;meanwhile experience versus;zesty;ACTIF;2
3;amidst marketplace;snappy;INACTIF;3
4;doodle an blah;loyalty dally;INACTIF;4
5;optimistically minus stock;revitalise;SUSPENDU;5
6;stake;drat;INACTIF;6
7;happy-go-lucky ah ligate;defiantly who;INACTIF;7
8;hornet;once;ACTIF;8
9;given;devastation colorful;SUSPENDU;9
10;rigidly;whereas bashfully until;SUSPENDU;10
11;rapid possession;thump;SUSPENDU;11
12;requirement;sheepishly back;ACTIF;12
13;longingly;interestingly as even;ACTIF;13
14;whose;fondly summer primary;SUSPENDU;14
15;beard;toward equally;ACTIF;15
16;flight unfortunately;hm;ACTIF;16
17;wrongly interestingly;connect;SUSPENDU;17
18;restaurant dimly custody;battle violently;ACTIF;18
19;modulo;signature toward jubilantly;INACTIF;19
20;suckle;utterly;INACTIF;20
21;quietly among old-fashioned;calmly blah someplace;SUSPENDU;21
22;comestible jut imagineer;mid provided out;SUSPENDU;22
23;complicated;gastropod whether;ACTIF;23
24;by emotional;till freely clamour;INACTIF;24
25;forceful brr zen;reluctantly ugh intent;ACTIF;25
26;baggy;inveigle under;INACTIF;26
27;upside-down;um perspire;ACTIF;27
28;seriously exacerbate because;brochure if earth;INACTIF;28
29;readmit spark loftily;profane when mealy;SUSPENDU;29
30;hunger victoriously;gadzooks;INACTIF;30
