id;ancien_code;nouveau_code;motif;date_changement;produit_id
1;wordy so;hence;forceful off but;2026-05-04T17:08:56;1
2;moisten think now;tinderbox scheme machine;hmph;2026-05-05T04:28:40;2
3;onto;impassioned;although reapply since;2026-05-05T05:10:14;3
4;malfunction gosh;yum hm whether;or respray beyond;2026-05-04T21:58:39;4
5;appertain cheerful;unless if exonerate;order ugh;2026-05-04T16:13:30;5
6;through casement amid;hm;whine rejoin;2026-05-05T05:50:17;6
7;replacement yuppify while;where;lucky shyly;2026-05-05T02:19:12;7
8;nearly splendid hungrily;ack before;whenever ha;2026-05-04T14:02:44;8
9;pack;pfft;whether yesterday hyphenation;2026-05-04T21:23:51;9
10;jazz oh;what construe;apud despite informal;2026-05-05T07:13:38;10
11;whoa overreact amongst;mortally urgently;manipulate;2026-05-05T08:36:30;11
12;excitedly lender wallaby;equally fairly equatorial;mosh tenant;2026-05-04T23:35:37;12
13;surprise gymnast yesterday;derby informal decide;official;2026-05-04T20:30:14;13
14;ring concerned briskly;whoa wavy;sardonic;2026-05-04T12:07:11;14
15;besides;ha for;slimy;2026-05-05T07:39:11;15
16;heavenly;yieldingly imaginary that;recklessly;2026-05-05T03:30:16;16
17;upward worth;which;likewise bah unethically;2026-05-05T02:06:07;17
18;gee yahoo;thick until via;discrete;2026-05-04T22:39:11;18
19;drab inasmuch;clamp terrible drab;gah;2026-05-04T14:35:49;19
20;yuck foodstuffs redact;up sunbeam ew;repeat readily charming;2026-05-04T23:41:12;20
21;incidentally;whereas;geez wedge gee;2026-05-04T14:22:44;21
22;nor apropos sheepishly;unless gadzooks terribly;for hm;2026-05-05T09:35:01;22
23;utterly fooey past;lavish but;so tightly;2026-05-05T04:17:49;23
24;frightfully delightfully;intently configuration;regarding;2026-05-04T16:05:03;24
25;cake eulogise hover;gah antagonize mostly;though;2026-05-04T20:44:29;25
26;once;zowie thorough sarong;huzzah deplore;2026-05-04T17:03:19;26
27;immense;mob;yum declaration;2026-05-04T23:24:38;27
28;pine delicious;yesterday;hence honored access;2026-05-04T11:20:22;28
29;evince intensely;continually sequester aw;um;2026-05-04T21:37:25;29
30;regarding;except for instead;zowie slow;2026-05-05T04:36:44;30
