id;reference;type_inventaire;statut;date_debut;date_fin;boutique_id;utilisateur_id
1;zowie cruelly;CONTROLE_PONCTUEL;PLANIFIE;2026-05-04T12:25:10;2026-05-05T05:16:59;1;1
2;via;CONTROLE_PONCTUEL;CLOTURE;2026-05-04T12:04:17;2026-05-04T21:19:35;2;2
3;ugh;COMPLET;EN_COURS;2026-05-04T18:30:19;2026-05-05T08:15:02;3;1
4;eek forenenst;COMPLET;PLANIFIE;2026-05-04T15:31:21;2026-05-04T14:11:54;4;2
5;unless basic reassuringly;COMPLET;EN_COURS;2026-05-04T12:31:46;2026-05-05T03:54:41;5;1
6;as;TOURNANT;PLANIFIE;2026-05-04T22:17:24;2026-05-04T14:36:10;6;2
7;unearth economise;COMPLET;PLANIFIE;2026-05-05T06:16:51;2026-05-05T10:09:55;7;2
8;inhibit;COMPLET;EN_COURS;2026-05-05T05:12:35;2026-05-05T03:37:46;8;2
9;oof;CONTROLE_PONCTUEL;PLANIFIE;2026-05-04T23:17:37;2026-05-04T23:49:07;9;1
10;yahoo incandescence iridescence;COMPLET;PLANIFIE;2026-05-05T03:13:42;2026-05-04T22:14:12;10;2
11;dishearten;COMPLET;PLANIFIE;2026-05-05T09:10:19;2026-05-04T19:02:40;11;1
12;upbeat hollow;CONTROLE_PONCTUEL;PLANIFIE;2026-05-05T05:37:03;2026-05-04T13:04:25;12;2
13;zowie bulky whoa;TOURNANT;EN_COURS;2026-05-05T02:53:55;2026-05-04T12:35:01;13;2
14;er whenever save;CONTROLE_PONCTUEL;ANNULE;2026-05-05T04:57:06;2026-05-04T14:34:34;14;2
15;tensely hmph sans;COMPLET;CLOTURE;2026-05-04T18:52:04;2026-05-04T18:56:43;15;2
16;aha;CONTROLE_PONCTUEL;CLOTURE;2026-05-05T04:04:34;2026-05-05T02:48:47;16;2
17;artistic oh chainstay;CONTROLE_PONCTUEL;EN_COURS;2026-05-05T08:50:01;2026-05-05T05:11:54;17;2
18;fervently generally wisely;TOURNANT;ANNULE;2026-05-05T10:11:18;2026-05-04T18:25:55;18;2
19;astride exterior premeditation;CONTROLE_PONCTUEL;EN_COURS;2026-05-05T02:32:30;2026-05-04T11:03:44;19;2
20;now hype scope;TOURNANT;EN_COURS;2026-05-05T07:30:11;2026-05-04T21:04:52;20;2
21;staid fast complicated;TOURNANT;EN_COURS;2026-05-04T14:17:24;2026-05-05T07:22:49;21;2
22;what spotless rusty;CONTROLE_PONCTUEL;EN_COURS;2026-05-05T09:32:46;2026-05-04T20:49:08;22;2
23;ah;CONTROLE_PONCTUEL;EN_COURS;2026-05-05T05:06:05;2026-05-05T06:55:46;23;1
24;chiffonier;CONTROLE_PONCTUEL;ANNULE;2026-05-05T01:38:17;2026-05-04T12:32:30;24;1
25;toward;COMPLET;PLANIFIE;2026-05-04T15:09:02;2026-05-05T04:47:29;25;1
26;whoever;CONTROLE_PONCTUEL;PLANIFIE;2026-05-04T13:00:42;2026-05-05T00:36:51;26;1
27;left uh-huh;TOURNANT;ANNULE;2026-05-04T18:55:55;2026-05-04T15:35:16;27;1
28;so abaft;CONTROLE_PONCTUEL;EN_COURS;2026-05-04T16:40:41;2026-05-04T12:21:03;28;2
29;pacemaker;CONTROLE_PONCTUEL;ANNULE;2026-05-05T01:55:43;2026-05-04T21:26:44;29;2
30;vulgarise afore skateboard;TOURNANT;EN_COURS;2026-05-05T09:27:47;2026-05-05T09:54:56;30;2
