id;base_calcul;taux_applique;montant_redevance;calcul_id
1;5850.47;87.32;30672.4;1
2;25525.63;45.36;10084;2
3;5060.2;40.3;31286.68;3
4;20913.33;99.22;6846.04;4
5;2378.23;57.01;13558.38;5
6;15283.01;67.66;9201.55;6
7;31640.39;90.94;7949.56;7
8;30491.5;60.55;19159.13;8
9;26816.86;83.75;13173.03;9
10;2696.35;57.92;26510.39;10
11;16366.89;59.92;20297.15;11
12;10438.94;55.4;6912.12;12
13;7299.97;98.65;32181.63;13
14;9224.93;7.04;32138.57;14
15;18531.14;91.24;4381.32;15
16;26484.4;26.78;17259.46;16
17;3166.81;3.89;28601.54;17
18;2137.2;84.25;14105.38;18
19;4276.65;12.3;11525.61;19
20;16238.14;66.74;24482.93;20
21;53.11;28.35;4503.85;21
22;30099.01;97.12;29296.75;22
23;24771.39;32.82;23482.18;23
24;32290.17;16.74;31647.92;24
25;27573.18;25.97;22483.74;25
26;15797.26;45.21;3143.9;26
27;11846.94;54.34;29625.28;27
28;17123.71;98.81;20171.21;28
29;26488.75;51.1;13200.17;29
30;32542.89;59.41;23487.62;30
