id;quantite_theorique;quantite_comptee;ecart;commentaire;inventaire_id;produit_id
1;28059.83;477.49;22513.52;simple pry;1;1
2;14186.89;11080.1;23398.76;frightened impure;2;2
3;11025.39;23026.7;18260.16;stained tightly drug;3;3
4;1817.54;31100.13;24078.68;what uncork pfft;4;4
5;3722.93;202.43;15056.83;ack splash;5;5
6;4854.94;14521.25;9334.32;bah community huzzah;6;6
7;23827.99;26049.91;4601.42;institute well-groomed;7;7
8;21398.25;9018.92;20264.64;thongs within;8;8
9;3673.42;14905.04;5768.63;who a;9;9
10;2668.82;10481.39;13298.18;because regarding;10;10
11;32162.93;31047.99;19848.17;amount;11;11
12;10.31;19417.93;30881.62;following;12;12
13;11468.35;11978.35;742.28;acknowledge;13;13
14;2011.5;19911.33;12314.42;notarize;14;14
15;16250.74;9893.28;2343.42;ambitious;15;15
16;21355.53;20260.05;30237.85;whisper pry charm;16;16
17;8243.16;17567.94;32231.33;shipper fully;17;17
18;7300.71;17296.54;16969.79;pro;18;18
19;6520.76;31785.48;108.19;interior;19;19
20;1387.53;11853.03;28334.45;phew;20;20
21;9154.18;22420.13;28354.25;guzzle cruelly;21;21
22;2688.06;23829.79;29878.06;forceful;22;22
23;3736.85;4821.97;13837.17;funny;23;23
24;17917.75;7431.62;31143.58;along although proper;24;24
25;5769.94;4611.08;8462.26;secrecy;25;25
26;27454.04;223.41;21454.92;excess covenant;26;26
27;7769.15;14668.16;930;onto unimpressively anguished;27;27
28;12645.35;14150.97;3354.35;who;28;28
29;22108.96;24696.68;7643.38;symbolise quaintly;29;29
30;8715.42;23735.52;25090.08;till supposing likewise;30;30
