id;quantite;stock_avant;stock_apres;commentaire;mouvement_id;produit_id;depot_id
1;29618.19;4193.71;23009.77;odd successfully colossal;1;1;1
2;31518.35;31097.41;23666.22;handover enhance finally;2;2;2
3;17927.92;6618.29;870.45;intervention supposing;3;3;3
4;30538.66;15682.02;18885.54;till owlishly swing;4;4;4
5;25377.99;2725.9;26474.6;aha soup;5;5;5
6;28409.21;9674.69;22497.81;except;6;6;6
7;24374.41;16312.07;143.7;from;7;7;7
8;28959.97;16073.3;6538.86;extroverted opposite;8;8;8
9;5928.46;15194.78;29081.67;interior;9;9;9
10;101.88;17142.61;29814.87;woot alarmed;10;10;10
11;6636.29;27166.73;24676.89;dusk league;11;11;11
12;3863.88;7826.75;22690.22;within;12;12;12
13;20742.08;32204.4;14750.92;behind design pack;13;13;13
14;13649.4;11344.24;8651.82;until dirty;14;14;14
15;27089.72;9207.26;1493.66;regarding;15;15;15
16;17927.8;20926.71;4394.18;frivolous zowie optimistic;16;16;16
17;20814.28;29723.53;5701.49;briskly merrily;17;17;17
18;9557.42;1539.56;25221.84;license;18;18;18
19;31437.69;13050.15;8673.93;optimistic;19;19;19
20;24312.55;20022.97;6546.58;puppet;20;20;20
21;14671.9;11678.28;15247.49;traduce past speedy;21;21;21
22;15709.66;12655.41;7194.26;gosh whoever round;22;22;22
23;17431.48;27071.24;15034.95;but;23;23;23
24;32289.83;17202.8;31665.84;well-off alongside kindly;24;24;24
25;3612.31;8429.84;26187.12;ultimate nor packaging;25;25;25
26;14867.61;4854.05;15524.32;deflate doing rightfully;26;26;26
27;30893.12;18866.79;17263.48;qua colonialism;27;27;27
28;22757.25;17788.5;875.04;boohoo consequently;28;28;28
29;13497.97;15382.75;16354.94;scary;29;29;29
30;19239.55;7779.3;24008.38;brr quietly;30;30;30
