id;quantite_attendue;quantite_recue;ecart;code_barres_scanne;reception_id;produit_id
1;25498.14;24868.26;7025.89;impartial;1;1
2;18062.56;20089.79;16613.55;fortunately badly;2;2
3;2609.62;11079.17;26037.66;adventurously moralise;3;3
4;16867.51;22495.27;13176.63;untidy usefully;4;4
5;10832.74;31903.45;16204.29;yum personalise palatable;5;5
6;21482.93;30650.78;24627.69;hm oxidise across;6;6
7;32227.14;11774.52;21074.37;enlist cultivated;7;7
8;24863.51;16391.43;539.06;uselessly nearly bathrobe;8;8
9;7437.72;7528.69;30180.29;print;9;9
10;12303.14;1722.59;30443.67;manipulate farm;10;10
11;6346.44;1319.36;23312.74;furthermore deliberately;11;11
12;6788.37;507.59;5735.52;overspend stock sleepy;12;12
13;2591.08;16120.3;6193.43;oh;13;13
14;31697.01;23468.58;24993.05;excluding;14;14
15;4460.25;28193.51;11623.18;meanwhile;15;15
16;16505.15;10047.24;16007.56;pack screw enroll;16;16
17;7432.48;11022.64;12273.73;given actually once;17;17
18;15925.84;14435.71;22491.24;lean encode unto;18;18
19;21130.69;1446.66;16923.64;grandpa;19;19
20;27312.93;8307.98;9787.01;aw doubter briskly;20;20
21;31728.45;16780.32;14724.71;afterwards or;21;21
22;17978.49;28746.68;13811.86;wilt er;22;22
23;26370.91;13576.18;15904.57;vista why though;23;23
24;8237.29;10446.25;26161.31;gracefully unless;24;24
25;31909.6;14481.71;21779.26;sensitize;25;25
26;11644.33;6233.01;11118.92;hence;26;26
27;31118.35;16095.53;14095.18;obnoxiously;27;27
28;9443.77;1209.21;12995.1;beneath;28;28
29;5113.84;4972.23;7247.13;worthless;29;29
30;27393.59;32408.36;22368.8;slimy;30;30
