id;quantite;commentaire;transfert_id;produit_id
1;18749.5;off following yahoo;1;1
2;28668.01;meh wash;2;2
3;7944.28;negative nor;3;3
4;21278.21;inasmuch so;4;4
5;6176.95;awkwardly but apostrophize;5;5
6;26815.23;whose or;6;6
7;32009.97;the;7;7
8;24790.74;disrespect for pfft;8;8
9;11891.65;supposing break;9;9
10;9003.52;but feminize;10;10
11;29354.1;aw clinking strategy;11;11
12;28082.88;woot neatly;12;12
13;26882.94;awkwardly whereas weird;13;13
14;27726.13;especially unwilling general;14;14
15;22180.99;nearly an meaningfully;15;15
16;32101.13;er gah modulo;16;16
17;7266.77;exalt major;17;17
18;21261.42;fooey;18;18
19;2535.29;ew shabby redact;19;19
20;21670.83;consequently not;20;20
21;21177.19;depend;21;21
22;19191.16;widow;22;22
23;32315.68;rotten er fairly;23;23
24;26941.12;sunder;24;24
25;21826.22;draft till;25;25
26;32006.43;forgery discrete yippee;26;26
27;16998.39;wherever if that;27;27
28;18199.03;celsius sleepily;28;28
29;17236.16;thankfully playfully arraign;29;29
30;7286.14;noxious uselessly often;30;30
