id;quantite;prix_unitaire;remise;montant_ligne;code_barres_scanne;vente_id;produit_id
1;11555.11;16948.62;24917.93;7381.32;whether;1;1
2;17097.24;3405.74;3331.42;25140.52;pish ew behold;2;2
3;5009.81;9952.99;3841.86;7485.03;per;3;3
4;9297.45;6299.48;3917.04;18182;provided;4;4
5;26264.69;4512.42;29951.54;18969.77;tribe;5;5
6;25862.33;24237.98;27923.44;32312.25;but miserable;6;6
7;6582.41;13272.9;29556.13;15521.6;righteously accompanist;7;7
8;5049.31;25430.37;1721.7;32135.35;into plus;8;8
9;2162.98;32296.88;20613.59;25682.77;even yuck quip;9;9
10;32621.79;19517.89;32636.78;3373.49;meanwhile tennis outlaw;10;10
11;15442.84;19030.32;22108.99;11220.4;nephew;11;11
12;15349.76;26604.18;31388.85;120.5;unrealistic for;12;12
13;10419.17;11894.53;20339.93;15236.48;confirm remark yowza;13;13
14;13666.11;30721.72;19586.35;9032.88;emergent;14;14
15;19282.47;15283.92;32441.8;2087.87;brandish versus;15;15
16;3428.38;16306.22;13876.05;8486.34;spirited;16;16
17;17899.74;7828.77;29112.82;24305.98;fast;17;17
18;10762.78;6423.65;10752.01;31346.2;furthermore against;18;18
19;5017.38;14013.74;32601.95;27706.74;laughter finished;19;19
20;1876.5;26257.64;6793.49;29306.07;drat nor onto;20;20
21;32310.37;17049.52;13182;18577.91;likewise drat;21;21
22;18653.56;23904;11409.21;30984.76;provided however roadway;22;22
23;25672.97;20243.97;17181.97;19823.18;whereas bump;23;23
24;5620.94;926.13;20523.56;9100.93;gripper scale next;24;24
25;3737;4941.93;7442.43;18272.92;tomorrow;25;25
26;32073.19;3115.91;10462.37;26783.94;derby who thin;26;26
27;23234.01;2286.26;24300.57;1194.05;as whenever;27;27
28;14298.12;11680.33;29989.16;21393.64;outside especially;28;28
29;17995.65;27512.16;18857.98;20627.08;uh-huh sonnet;29;29
30;27709.32;31760.43;16006.37;2632.34;eminent qualified;30;30
