id;reference;date_generation;format_impression;nombre_etiquettes
1;yowza;2026-05-04T23:32:59;meadow besides;737
2;gosh;2026-05-05T04:08:25;um ditch oddly;29911
3;why angle gadzooks;2026-05-05T06:34:27;plugin whoa;28167
4;stump indeed;2026-05-05T00:26:41;bah if fooey;3540
5;unruly whoa;2026-05-04T10:31:50;however till;29768
6;without gosh proofread;2026-05-04T23:58:04;hypothesise gee;6352
7;gah;2026-05-04T11:56:15;drat toward;23436
8;growing considering;2026-05-04T15:08:42;once;31917
9;tempting;2026-05-05T04:15:32;though after fluff;4298
10;knuckle harvest;2026-05-04T14:54:25;summarise;24514
11;steel admonish;2026-05-04T10:42:37;ridge;28755
12;blank;2026-05-04T15:29:17;keenly;7138
13;incidentally huzzah;2026-05-04T19:37:02;while;24881
14;nutritious;2026-05-04T12:19:03;rough behind;20235
15;whoa majestically;2026-05-04T20:43:40;furthermore kielbasa fen;16095
16;if surprised;2026-05-05T08:13:44;round monasticism beret;29867
17;parade;2026-05-04T19:40:06;lender sense;8272
18;whisper;2026-05-05T07:50:52;whenever yum uh-huh;30921
19;lift fleck oblong;2026-05-05T08:56:06;hm apologise;18911
20;although;2026-05-04T13:41:09;to snowplow;26647
21;although psst shocked;2026-05-04T18:04:48;adrenalin molasses chunter;9636
22;oh;2026-05-04T20:10:25;when loyally;21011
23;uh-huh gadzooks filter;2026-05-05T02:42:57;baseboard;30058
24;pfft horde;2026-05-04T15:11:49;which;3941
25;gah revere;2026-05-05T03:24:43;fat seriously;16857
26;yuck;2026-05-05T02:24:03;phew;27618
27;ugh through lender;2026-05-05T00:56:15;through terrible fair;1894
28;even;2026-05-05T09:22:03;who;15065
29;afterwards boohoo;2026-05-04T19:02:24;yippee than;13080
30;blaspheme;2026-05-05T01:06:01;react;22995
