id;code;libelle;actif
1;trustworthy gee partially;uh-huh for;false
2;long investigate pace;seemingly ew;false
3;eek whether;whether;false
4;but;messy;false
5;as bleak apropos;beneath embed;false
6;searchingly marathon gratefully;fortunately inquisitively;true
7;inspection impostor;mouser;true
8;mindless;larva summer;false
9;well teeming if;potentially lest angle;false
10;institute tasty;devise hm;false
11;regarding because;furthermore;true
12;consequently off;grade snuggle gosh;false
13;doubtfully likewise;times;true
14;yuck wherever;puny;false
15;mmm concerning misguided;birdcage;false
16;perky;cheerfully soggy brr;false
17;tattered;duh;false
18;up how young;um hence super;true
19;psst easily;what or quarrelsomely;false
20;loftily once;pro;false
21;um practical;amend camouflage times;true
22;midst elegantly redevelop;wisely zowie whoever;false
23;without;service waft skean;true
24;loaf;frightfully;false
25;fragrant properly iterate;including;true
26;briefly tender;oh;true
27;rarely hmph;wonderfully;false
28;kiss obscure;oh underachieve repentant;false
29;scoop;sans;true
30;pillow request;microblog eek gallery;true
