id;reference;type_mouvement;statut;date_mouvement;motif;boutique_id;utilisateur_id
1;like;SORTIE;BROUILLON;2026-05-05T05:58:12;willing;1;1
2;ugh after very;PERTE;ANNULE;2026-05-04T11:13:28;adrenalin prejudge from;2;2
3;hope;AJUSTEMENT;VALIDE;2026-05-04T12:07:14;under sailor ouch;3;2
4;solemnly;TRANSFERT;ANNULE;2026-05-05T04:16:02;ah;4;2
5;supposing internalize who;SORTIE;ANNULE;2026-05-04T19:40:32;brr why;5;2
6;equally;SORTIE;ANNULE;2026-05-04T20:10:41;quarrel why;6;1
7;godparent until;PERTE;ANNULE;2026-05-05T06:29:37;instead;7;2
8;coolly;INVENTAIRE;ANNULE;2026-05-05T00:14:14;hopeful;8;1
9;that;RETOUR_CLIENT;ANNULE;2026-05-05T01:37:25;blah;9;1
10;transplant whoever knottily;VENTE;ANNULE;2026-05-05T08:01:29;monthly so worth;10;1
11;how cash while;VENTE;ANNULE;2026-05-04T15:58:44;tray internalize;11;2
12;that oof;INVENTAIRE;BROUILLON;2026-05-04T23:53:09;phew oddly incidentally;12;1
13;yearningly;INVENTAIRE;ANNULE;2026-05-05T01:44:04;shyly and;13;1
14;dental;ENTREE;BROUILLON;2026-05-05T03:12:34;foretell aboard;14;2
15;on the er;ENTREE;BROUILLON;2026-05-04T15:52:54;furthermore amongst lustrous;15;2
16;alb;PERTE;ANNULE;2026-05-05T02:45:26;delightfully;16;2
17;astride till;PERTE;BROUILLON;2026-05-04T10:24:45;entire grizzled;17;1
18;stealthily considering sophisticated;RETOUR_CLIENT;ANNULE;2026-05-04T13:59:14;vastly properly darling;18;2
19;ha gosh usable;ENTREE;VALIDE;2026-05-04T21:16:22;midst yuppify;19;1
20;pause across;TRANSFERT;BROUILLON;2026-05-04T15:53:13;minus savour excitedly;20;1
21;curiously yuck pfft;TRANSFERT;BROUILLON;2026-05-05T05:15:36;sensitize;21;2
22;till yowza;RETOUR_CLIENT;VALIDE;2026-05-04T14:32:23;alongside;22;1
23;brr;RETOUR_CLIENT;VALIDE;2026-05-05T05:06:54;pants damp;23;2
24;humiliating;AJUSTEMENT;ANNULE;2026-05-04T22:38:37;industrialize meh pretty;24;1
25;where;TRANSFERT;BROUILLON;2026-05-04T13:48:46;instead regarding pry;25;1
26;ack;RETOUR_CLIENT;BROUILLON;2026-05-04T19:48:30;huzzah keenly;26;2
27;cautiously legislature;VENTE;VALIDE;2026-05-04T11:17:15;hm;27;1
28;judicious upward lack;ENTREE;VALIDE;2026-05-04T19:34:52;whoa presell consequently;28;2
29;or;SORTIE;BROUILLON;2026-05-04T16:44:09;mythology till athwart;29;1
30;than transom beyond;ENTREE;VALIDE;2026-05-04T20:53:38;rightfully;30;1
