id;type_operation;motif;montant_impact;date_operation;vente_id;utilisateur_id
1;AJUSTEMENT;rapidly habit recovery;11469.68;2026-05-04T21:34:25;1;1
2;RETOUR;unabashedly;14215.03;2026-05-04T20:30:12;2;2
3;ANNULATION;howl;6176.67;2026-05-04T15:07:56;3;2
4;RETOUR;although;6274.86;2026-05-04T16:18:32;4;1
5;RETOUR;self-reliant;25555.64;2026-05-04T19:30:37;5;1
6;ANNULATION;searchingly stool other;17979.56;2026-05-05T00:43:09;6;1
7;AJUSTEMENT;instead restfully;16079.18;2026-05-05T08:19:06;7;2
8;AJUSTEMENT;vestment;29249.8;2026-05-05T00:50:34;8;1
9;RETOUR;goat;26784.77;2026-05-04T16:22:47;9;1
10;RETOUR;impossible;31330.27;2026-05-04T19:10:18;10;2
11;AJUSTEMENT;during well-lit obnoxiously;8001.31;2026-05-05T04:15:57;11;2
12;ANNULATION;winged polyester plain;17221.88;2026-05-04T11:44:41;12;2
13;RETOUR;institute brr whoa;32658.21;2026-05-05T05:14:36;13;1
14;AJUSTEMENT;likely frantically;1558.48;2026-05-05T02:18:26;14;1
15;AJUSTEMENT;well-made;26773.57;2026-05-04T21:07:36;15;1
16;ANNULATION;hunt pish;11808.16;2026-05-04T21:05:49;16;1
17;RETOUR;lyre;3376.96;2026-05-04T19:33:04;17;2
18;RETOUR;lovely like poetry;25447.73;2026-05-04T17:12:11;18;1
19;AJUSTEMENT;breastplate dreamily;2983.66;2026-05-04T22:39:25;19;2
20;RETOUR;soft embody;15398.58;2026-05-04T23:32:16;20;2
21;RETOUR;forenenst;12778.92;2026-05-04T14:48:58;21;2
22;AJUSTEMENT;shrilly oh festival;12686.07;2026-05-05T00:01:13;22;1
23;AJUSTEMENT;not excluding;10629.87;2026-05-05T04:36:36;23;2
24;AJUSTEMENT;unless often gleefully;20892.14;2026-05-05T09:22:44;24;1
25;RETOUR;gosh;4320.69;2026-05-05T03:07:10;25;2
26;AJUSTEMENT;who;30506.02;2026-05-04T18:57:36;26;1
27;RETOUR;inside;4014.14;2026-05-05T07:30:22;27;2
28;ANNULATION;sheepishly quaintly;7717.71;2026-05-04T12:40:18;28;1
29;RETOUR;excluding;26156.49;2026-05-04T13:43:50;29;1
30;ANNULATION;perky different;25884.75;2026-05-05T09:29:47;30;1
