id;montant;statut;reference_paiement;date_paiement;vente_id;mode_paiement_id
1;14265.13;PARTIEL;reapply;2026-05-05T06:52:25;1;1
2;1453.44;PAYE;extricate;2026-05-05T09:07:21;2;2
3;20563.13;EN_ATTENTE;atop gratefully;2026-05-05T02:39:23;3;3
4;8707.15;ANNULE;since as wearily;2026-05-04T23:52:22;4;4
5;31048.77;ANNULE;bran wrong;2026-05-04T13:04:26;5;5
6;25517.76;ANNULE;woot agitated;2026-05-04T17:48:47;6;6
7;31933.49;PAYE;dwell obedience quick-witted;2026-05-04T22:28:06;7;7
8;25157.46;EN_ATTENTE;ack;2026-05-04T18:59:02;8;8
9;5890.06;PARTIEL;partial;2026-05-05T07:56:26;9;9
10;22702.51;ANNULE;neglected worth big;2026-05-04T22:59:45;10;10
11;31174.6;PAYE;crowded an or;2026-05-04T13:27:26;11;11
12;10166.98;ANNULE;settler whenever why;2026-05-04T10:48:44;12;12
13;9170.37;PARTIEL;hmph;2026-05-05T01:43:10;13;13
14;5177.61;PAYE;furthermore;2026-05-04T18:32:11;14;14
15;19657.35;PARTIEL;fast whereas;2026-05-04T22:39:49;15;15
16;25858.51;PAYE;nocturnal worth;2026-05-04T18:46:06;16;16
17;29348.99;ANNULE;adjudge almost;2026-05-04T18:22:16;17;17
18;17887.29;ANNULE;behind;2026-05-04T20:14:57;18;18
19;10928.29;PARTIEL;of ew;2026-05-05T01:42:26;19;19
20;12921.52;PARTIEL;crest energetically;2026-05-05T05:07:11;20;20
21;20636.16;PAYE;anenst aw yowza;2026-05-04T19:34:44;21;21
22;3308.36;ANNULE;inspection;2026-05-04T20:15:12;22;22
23;28595.46;PAYE;likewise fooey;2026-05-04T11:21:03;23;23
24;30991.02;ANNULE;if harangue within;2026-05-04T19:56:56;24;24
25;8287.66;PAYE;bravely;2026-05-05T08:16:13;25;25
26;29243.44;ANNULE;brr hmph navigate;2026-05-05T08:09:28;26;26
27;10550.69;EN_ATTENTE;hmph hepatitis;2026-05-05T03:31:25;27;27
28;12802.98;PARTIEL;bitterly;2026-05-05T00:28:38;28;28
29;11943.01;PAYE;illustrious trusty;2026-05-05T02:50:26;29;29
30;29902.22;PARTIEL;forenenst;2026-05-04T15:22:56;30;30
