id;code;libelle;module;description
1;whose meh;until;insignificant innocently;../fake-data/blob/hipster.txt
2;lest kinase snack;lest aha;indeed adventurously;../fake-data/blob/hipster.txt
3;vainly meaningfully;provided;when;../fake-data/blob/hipster.txt
4;save;beneath;draw duh;../fake-data/blob/hipster.txt
5;toward into;save chilly viciously;grouchy shameful ick;../fake-data/blob/hipster.txt
6;truly advocate once;ha athwart victoriously;oh;../fake-data/blob/hipster.txt
7;expense;since after how;inasmuch procurement factorise;../fake-data/blob/hipster.txt
8;from until although;until trolley ha;indeed fragrant while;../fake-data/blob/hipster.txt
9;summer difficult;runny gym;yearningly;../fake-data/blob/hipster.txt
10;accompanist dramatic;failing ha what;meh;../fake-data/blob/hipster.txt
11;until;glow supposing coexist;quaff keenly;../fake-data/blob/hipster.txt
12;defenseless;aboard;handover;../fake-data/blob/hipster.txt
13;than;within;yet ill-fated including;../fake-data/blob/hipster.txt
14;moor ack;proofread;appropriate deceivingly toward;../fake-data/blob/hipster.txt
15;now battle;modulo guacamole than;ha given impartial;../fake-data/blob/hipster.txt
16;to;provided;brood prickly merge;../fake-data/blob/hipster.txt
17;know ick;frantically;amid;../fake-data/blob/hipster.txt
18;subtle;woot;possession;../fake-data/blob/hipster.txt
19;married trolley;astride;whoa loudly longingly;../fake-data/blob/hipster.txt
20;fast next;reckon rise;frantically;../fake-data/blob/hipster.txt
21;diversity fussy;blacken;qua although ugh;../fake-data/blob/hipster.txt
22;likely schlep although;gee;up;../fake-data/blob/hipster.txt
23;preclude;likely parched grimy;ugh why astride;../fake-data/blob/hipster.txt
24;deplore an orange;above whether reproachfully;rarely gadzooks flight;../fake-data/blob/hipster.txt
25;astride seemingly;premier while;mobility for;../fake-data/blob/hipster.txt
26;yahoo hornet er;gadzooks;blindly polite pink;../fake-data/blob/hipster.txt
27;meanwhile meh fondly;er acidic;unabashedly portray boohoo;../fake-data/blob/hipster.txt
28;incidentally;blah phew;chubby onto slimy;../fake-data/blob/hipster.txt
29;tattered easy to;after;self-confidence;../fake-data/blob/hipster.txt
30;cleave;blah;dereference snoopy;../fake-data/blob/hipster.txt
