id;code_interne;designation;description;type_prix;prix_vente;taux_redevance_applicable;statut;date_creation;boutique_id;unite_mesure_id
1;hamburger drat;phew whoa;../fake-data/blob/hipster.txt;CONTRACTUEL;10320.91;29.37;ACTIF;2026-05-04T16:18:34;1;1
2;qualified dilate yowza;nor qua gadzooks;../fake-data/blob/hipster.txt;STANDARD;32157.25;34.55;SUSPENDU;2026-05-04T21:51:14;2;2
3;aboard until;whenever;../fake-data/blob/hipster.txt;CONTRACTUEL;29288.72;13.48;SUSPENDU;2026-05-04T11:36:28;3;3
4;gadzooks lively;kindheartedly;../fake-data/blob/hipster.txt;PROMOTION;7925.92;79.83;SUSPENDU;2026-05-05T01:24:14;4;4
5;yieldingly upright;quart lavish;../fake-data/blob/hipster.txt;PROMOTION;11754.1;15.88;INACTIF;2026-05-05T09:41:22;5;5
6;eventually furthermore;pause minus;../fake-data/blob/hipster.txt;PROMOTION;22564;43.86;INACTIF;2026-05-05T05:08:14;6;6
7;notwithstanding;because westernise victorious;../fake-data/blob/hipster.txt;CONTRACTUEL;13005.06;5.81;SUSPENDU;2026-05-04T21:09:37;7;7
8;ugly around;cruelty minus;../fake-data/blob/hipster.txt;CONTRACTUEL;4456.87;27.32;ACTIF;2026-05-04T22:01:18;8;8
9;left implode ew;mousse singing;../fake-data/blob/hipster.txt;STANDARD;5097.74;52.52;ACTIF;2026-05-05T00:58:54;9;9
10;following woot;quicker skyline;../fake-data/blob/hipster.txt;CONTRACTUEL;24961.93;49.42;SUSPENDU;2026-05-04T13:00:00;10;10
11;beside promise blah;approach huge lonely;../fake-data/blob/hipster.txt;CONTRACTUEL;9661.15;17.65;ACTIF;2026-05-04T13:44:54;11;11
12;barring;ack casket aching;../fake-data/blob/hipster.txt;STANDARD;31855;76.17;INACTIF;2026-05-05T03:49:35;12;12
13;jealously drat;pearl progress;../fake-data/blob/hipster.txt;STANDARD;26968.53;88.42;SUSPENDU;2026-05-04T10:49:43;13;13
14;next whoever plus;forenenst cheap;../fake-data/blob/hipster.txt;STANDARD;9962.2;65.05;INACTIF;2026-05-04T13:26:01;14;14
15;both going overconfidently;hourly;../fake-data/blob/hipster.txt;PROMOTION;18147.48;73.04;SUSPENDU;2026-05-04T13:19:32;15;15
16;exactly trusting;usually yeast jealously;../fake-data/blob/hipster.txt;STANDARD;31881.51;92.34;ACTIF;2026-05-04T20:36:50;16;16
17;whether until;flimsy;../fake-data/blob/hipster.txt;CONTRACTUEL;31825.41;98.2;SUSPENDU;2026-05-04T16:24:52;17;17
18;smoggy;pitiful ripe brightly;../fake-data/blob/hipster.txt;PROMOTION;18130.47;53.15;INACTIF;2026-05-05T07:33:00;18;18
19;bestride plus;incidentally excepting well-made;../fake-data/blob/hipster.txt;CONTRACTUEL;18555.2;23.78;ACTIF;2026-05-05T08:47:52;19;19
20;unhappy democratize generally;over rare bah;../fake-data/blob/hipster.txt;STANDARD;27159.03;48.44;INACTIF;2026-05-04T18:06:05;20;20
21;yum;subtle energetically christen;../fake-data/blob/hipster.txt;STANDARD;30133.68;40.39;SUSPENDU;2026-05-05T00:31:07;21;21
22;tomatillo;shyly loudly;../fake-data/blob/hipster.txt;CONTRACTUEL;19573.27;3.13;INACTIF;2026-05-05T07:15:49;22;22
23;aha an;openly aw;../fake-data/blob/hipster.txt;CONTRACTUEL;29069.93;97.19;INACTIF;2026-05-04T14:57:50;23;23
24;anti;gee shore release;../fake-data/blob/hipster.txt;CONTRACTUEL;30629.74;95.71;SUSPENDU;2026-05-05T02:11:25;24;24
25;trick specific ouch;if solidly;../fake-data/blob/hipster.txt;CONTRACTUEL;30431.42;59.61;INACTIF;2026-05-04T21:22:43;25;25
26;hopelessly after;please incidentally yowza;../fake-data/blob/hipster.txt;PROMOTION;13319.21;79.29;INACTIF;2026-05-04T20:14:18;26;26
27;igloo;hm circulate proceed;../fake-data/blob/hipster.txt;CONTRACTUEL;11453.98;9.09;SUSPENDU;2026-05-04T17:06:43;27;27
28;brr anenst;major co-producer;../fake-data/blob/hipster.txt;PROMOTION;26840.66;89.69;INACTIF;2026-05-05T05:01:36;28;28
29;blindly;across meager;../fake-data/blob/hipster.txt;CONTRACTUEL;8926.72;19.26;SUSPENDU;2026-05-05T10:10:35;29;29
30;humble reasonable yearly;fathom;../fake-data/blob/hipster.txt;STANDARD;19794.2;18.9;SUSPENDU;2026-05-05T02:41:57;30;30
