id;code;libelle;description;statut
1;devise now;who down;../fake-data/blob/hipster.txt;INACTIF
2;dearest foolishly oof;psst common;../fake-data/blob/hipster.txt;ACTIF
3;impure;briefly;../fake-data/blob/hipster.txt;ACTIF
4;wrongly ack;who gorgeous curiously;../fake-data/blob/hipster.txt;INACTIF
5;beard splurge;who past midst;../fake-data/blob/hipster.txt;ACTIF
6;hyena;illusion;../fake-data/blob/hipster.txt;INACTIF
7;whereas;not gah;../fake-data/blob/hipster.txt;SUSPENDU
8;which pish;deform redound;../fake-data/blob/hipster.txt;ACTIF
9;where pacemaker pish;scented;../fake-data/blob/hipster.txt;INACTIF
10;ha;boohoo;../fake-data/blob/hipster.txt;INACTIF
11;inhibit;aboard;../fake-data/blob/hipster.txt;ACTIF
12;statement;damaged pearl;../fake-data/blob/hipster.txt;SUSPENDU
13;against;er duh after;../fake-data/blob/hipster.txt;ACTIF
14;derby putrefy yuck;appropriate drat;../fake-data/blob/hipster.txt;SUSPENDU
15;icebreaker readily;formamide tusk;../fake-data/blob/hipster.txt;ACTIF
16;past;amidst monthly;../fake-data/blob/hipster.txt;INACTIF
17;or roughly flood;insist consequently;../fake-data/blob/hipster.txt;ACTIF
18;home euphonium;unnecessarily uh-huh;../fake-data/blob/hipster.txt;ACTIF
19;fess;politely;../fake-data/blob/hipster.txt;SUSPENDU
20;capitalize;lend second;../fake-data/blob/hipster.txt;INACTIF
21;our;heartbeat now as;../fake-data/blob/hipster.txt;INACTIF
22;yahoo wafer;uh-huh invite traditionalism;../fake-data/blob/hipster.txt;ACTIF
23;and while;freckle boo gah;../fake-data/blob/hipster.txt;INACTIF
24;though;serenade;../fake-data/blob/hipster.txt;INACTIF
25;pace;shark ick nauseate;../fake-data/blob/hipster.txt;SUSPENDU
26;hm cornet;categorise;../fake-data/blob/hipster.txt;INACTIF
27;till;ick;../fake-data/blob/hipster.txt;INACTIF
28;needily;whose yuck tenement;../fake-data/blob/hipster.txt;ACTIF
29;wherever whose attraction;measly fooey;../fake-data/blob/hipster.txt;INACTIF
30;er shout;between but;../fake-data/blob/hipster.txt;SUSPENDU
