id;code;type_regle;taux;date_debut;date_fin;priorite;actif
1;disposer pleasing drug;LOCATAIRE;84.66;2026-05-04;2026-05-04;16150;true
2;quirkily place marathon;LOCATAIRE;24.94;2026-05-05;2026-05-04;15840;true
3;justly mathematics iterate;BOUTIQUE;11.51;2026-05-04;2026-05-04;11751;true
4;murky tomorrow paralyse;PRODUIT;37.69;2026-05-05;2026-05-05;23880;false
5;failing westernize pepper;PRODUIT;88.13;2026-05-05;2026-05-04;22458;true
6;furiously grown;GROUPE_ARTICLE;85.65;2026-05-04;2026-05-05;14124;true
7;within meh boohoo;PRODUIT;62.85;2026-05-05;2026-05-04;16708;false
8;aw depart beside;GROUPE_ARTICLE;54.44;2026-05-05;2026-05-04;30351;true
9;vestment lively haircut;BOUTIQUE;99.1;2026-05-05;2026-05-04;3016;false
10;finally while sharply;BOUTIQUE;68.47;2026-05-04;2026-05-04;23110;false
11;nippy;PRODUIT;14.59;2026-05-04;2026-05-04;30345;false
12;probate viciously juicy;BOUTIQUE;80.62;2026-05-04;2026-05-04;4248;false
13;splash;BOUTIQUE;98.45;2026-05-05;2026-05-04;8316;false
14;alongside gummy;LOCATAIRE;90.21;2026-05-04;2026-05-04;3937;true
15;ugh intervention;LOCATAIRE;4.67;2026-05-04;2026-05-04;8956;false
16;complication;GROUPE_ARTICLE;93.48;2026-05-04;2026-05-04;31462;true
17;alienated burly finally;BOUTIQUE;61.82;2026-05-05;2026-05-04;25260;true
18;atop;LOCATAIRE;40.44;2026-05-05;2026-05-05;25770;true
19;noted aha gadzooks;BOUTIQUE;43.19;2026-05-04;2026-05-04;19059;false
20;forenenst appertain;BOUTIQUE;63.81;2026-05-04;2026-05-05;9833;false
21;safely;GROUPE_ARTICLE;18.73;2026-05-04;2026-05-05;23024;false
22;after;LOCATAIRE;34.73;2026-05-04;2026-05-04;30956;true
23;nun;PRODUIT;6.2;2026-05-05;2026-05-04;16578;true
24;yet;LOCATAIRE;74.98;2026-05-05;2026-05-04;22798;true
25;because;GROUPE_ARTICLE;6.89;2026-05-04;2026-05-04;18995;true
26;er gee ill-fated;LOCATAIRE;8.38;2026-05-04;2026-05-04;28225;true
27;oh crossly aha;BOUTIQUE;17.62;2026-05-04;2026-05-04;27821;true
28;quadruple;GROUPE_ARTICLE;61.8;2026-05-05;2026-05-05;9474;true
29;appliance;GROUPE_ARTICLE;64.34;2026-05-05;2026-05-05;7963;true
30;finally aware loyally;LOCATAIRE;28.33;2026-05-05;2026-05-05;15970;true
