id;reference;montant;motif;date_regularisation;calcul_id
1;developmental;19143.41;likewise outstanding obediently;2026-05-04T14:15:53;1
2;card notwithstanding;25300.5;miserably unlike;2026-05-05T09:11:25;2
3;fearless yet;30076.65;thankfully jealous yippee;2026-05-04T13:01:18;3
4;regular;31138.34;mid;2026-05-05T08:08:32;4
5;pip pro impractical;427.98;vice likewise gosh;2026-05-05T03:24:55;5
6;lest;25400.5;massage circumnavigate yippee;2026-05-05T02:48:54;6
7;gosh ew perspire;13588.48;disconnection;2026-05-04T14:16:39;7
8;as direct lotion;1776.29;guidance during beyond;2026-05-05T08:46:04;8
9;passionate er;12421.59;clinch aw wombat;2026-05-05T03:52:08;9
10;ah crocodile familiarize;406.55;amid immaculate first;2026-05-04T21:16:13;10
11;ugh punctual;21218.72;mysteriously wisely now;2026-05-04T19:19:51;11
12;since;19925.63;part;2026-05-04T22:25:17;12
13;untidy;4659.44;amnesty likewise;2026-05-04T14:24:05;13
14;hm;9039.94;which boohoo;2026-05-04T21:45:30;14
15;uh-huh;5311.9;enormously to;2026-05-05T07:01:46;15
16;informal if how;20613.92;rationale daily;2026-05-05T02:58:26;16
17;versus savour;20894.67;aha yum;2026-05-04T22:23:14;17
18;finally queasy;31530.48;within;2026-05-04T14:12:27;18
19;once furthermore wash;27349.69;astride eke;2026-05-04T22:58:44;19
20;wordy;16100.44;ugh briefly;2026-05-05T09:02:17;20
21;versus;10403.25;lest lest yowza;2026-05-05T05:12:26;21
22;now gee illiterate;23541.99;lumpy;2026-05-05T01:57:32;22
23;nor importance;1205.3;curry after ignite;2026-05-05T00:03:17;23
24;reckless;4880.34;handover;2026-05-04T20:20:53;24
25;potable;563.94;although dental ack;2026-05-05T06:30:46;25
26;by famously sans;31537.57;likewise lovely of;2026-05-05T06:47:16;26
27;tabulate;3803.65;very readies synthesise;2026-05-05T00:34:33;27
28;insistent;9117.11;tuxedo geez;2026-05-04T10:39:43;28
29;reschedule;15681.92;giving yippee;2026-05-04T13:00:59;29
30;fireplace;24004.45;wing;2026-05-05T05:10:27;30
