id;quantite_theorique;stock_alerte;date_dernier_mouvement;produit_id;depot_id
1;12837.08;20787.36;2026-05-04T20:19:18;1;1
2;14532.58;12852.49;2026-05-05T05:12:06;2;2
3;21319.57;29708.15;2026-05-05T04:45:49;3;3
4;5440.72;6903.91;2026-05-05T10:09:35;4;4
5;5912;8645.18;2026-05-04T13:09:07;5;5
6;27765.13;30558.28;2026-05-05T04:03:19;6;6
7;16466.51;22741.14;2026-05-04T23:27:31;7;7
8;4800.51;27209.22;2026-05-04T17:48:48;8;8
9;13600.26;23458.88;2026-05-04T17:25:17;9;9
10;19512.09;31018.43;2026-05-04T19:20:31;10;10
11;10116.82;15462.9;2026-05-04T13:20:24;11;11
12;16236.71;32390.56;2026-05-04T19:59:05;12;12
13;3864.17;15543.71;2026-05-05T06:14:21;13;13
14;1096.27;14324.42;2026-05-04T23:33:43;14;14
15;19109.66;28159.31;2026-05-05T03:13:39;15;15
16;263.42;29294.63;2026-05-05T01:09:48;16;16
17;2052.61;27952.21;2026-05-04T21:41:49;17;17
18;21570.33;9549.43;2026-05-04T17:27:50;18;18
19;20683.42;12871;2026-05-04T17:44:14;19;19
20;2764.81;25699.69;2026-05-04T14:27:14;20;20
21;19815.85;21710.56;2026-05-05T01:28:12;21;21
22;28223.25;31053.1;2026-05-05T03:42:02;22;22
23;18328.92;4545.43;2026-05-05T04:29:59;23;23
24;1894.93;3935.56;2026-05-05T08:49:08;24;24
25;3533.31;20956.05;2026-05-04T19:28:20;25;25
26;19004.42;26764.07;2026-05-04T10:40:10;26;26
27;19634.6;17446.26;2026-05-05T03:30:08;27;27
28;28144.5;4995.86;2026-05-05T06:53:29;28;28
29;6118.5;16453.04;2026-05-04T15:35:16;29;29
30;10423.78;85.89;2026-05-04T14:23:57;30;30
