id;montant;type_prix;date_debut;date_fin;actif;produit_id
1;13998.1;CONTRACTUEL;2026-05-04;2026-05-04;true;1
2;3784.77;STANDARD;2026-05-05;2026-05-04;false;2
3;19639.58;CONTRACTUEL;2026-05-04;2026-05-05;false;3
4;4215.7;STANDARD;2026-05-04;2026-05-04;false;4
5;806.48;CONTRACTUEL;2026-05-04;2026-05-05;false;5
6;4038.97;STANDARD;2026-05-04;2026-05-05;false;6
7;21580.64;CONTRACTUEL;2026-05-05;2026-05-05;false;7
8;3635.9;CONTRACTUEL;2026-05-04;2026-05-05;false;8
9;25948.24;CONTRACTUEL;2026-05-04;2026-05-05;false;9
10;29785.48;PROMOTION;2026-05-05;2026-05-04;true;10
11;28442.56;STANDARD;2026-05-05;2026-05-04;true;11
12;21386.31;STANDARD;2026-05-05;2026-05-04;false;12
13;17589.05;PROMOTION;2026-05-05;2026-05-05;false;13
14;17574.78;CONTRACTUEL;2026-05-04;2026-05-04;true;14
15;32493.76;PROMOTION;2026-05-04;2026-05-05;false;15
16;6211.08;STANDARD;2026-05-05;2026-05-04;false;16
17;10981.95;STANDARD;2026-05-04;2026-05-05;true;17
18;9099.08;STANDARD;2026-05-04;2026-05-04;false;18
19;25828.33;CONTRACTUEL;2026-05-04;2026-05-04;true;19
20;2242.26;CONTRACTUEL;2026-05-04;2026-05-04;false;20
21;7878.02;STANDARD;2026-05-05;2026-05-04;true;21
22;8809.96;CONTRACTUEL;2026-05-05;2026-05-05;false;22
23;8158.37;PROMOTION;2026-05-05;2026-05-04;false;23
24;4699.51;CONTRACTUEL;2026-05-04;2026-05-04;true;24
25;13103.26;CONTRACTUEL;2026-05-04;2026-05-05;false;25
26;24123.41;PROMOTION;2026-05-05;2026-05-05;false;26
27;12817.38;PROMOTION;2026-05-04;2026-05-04;true;27
28;31656.88;STANDARD;2026-05-05;2026-05-04;true;28
29;31344.8;PROMOTION;2026-05-04;2026-05-04;true;29
30;12118.6;CONTRACTUEL;2026-05-05;2026-05-04;false;30
