id;numero;date_emission;nombre_impressions;contenu;vente_id
1;trim muscat swift;2026-05-05T07:37:53;11693;../fake-data/blob/hipster.txt;1
2;uh-huh gummy whereas;2026-05-04T23:53:32;3806;../fake-data/blob/hipster.txt;2
3;however;2026-05-04T11:52:43;19606;../fake-data/blob/hipster.txt;3
4;yahoo;2026-05-04T12:25:20;6800;../fake-data/blob/hipster.txt;4
5;woot nutritious aircraft;2026-05-05T07:27:57;26975;../fake-data/blob/hipster.txt;5
6;cutlet thrifty;2026-05-05T09:59:34;26465;../fake-data/blob/hipster.txt;6
7;dead;2026-05-05T01:05:32;23067;../fake-data/blob/hipster.txt;7
8;tune stigmatize plus;2026-05-05T07:05:11;2613;../fake-data/blob/hipster.txt;8
9;brown abandoned;2026-05-04T13:46:14;30868;../fake-data/blob/hipster.txt;9
10;gad sans;2026-05-05T03:43:24;2374;../fake-data/blob/hipster.txt;10
11;shiny;2026-05-04T22:36:27;28838;../fake-data/blob/hipster.txt;11
12;soon shimmering;2026-05-05T06:25:04;13250;../fake-data/blob/hipster.txt;12
13;whoa forenenst;2026-05-04T14:54:33;5332;../fake-data/blob/hipster.txt;13
14;because failing;2026-05-05T10:09:10;30796;../fake-data/blob/hipster.txt;14
15;husky though;2026-05-05T03:48:46;10633;../fake-data/blob/hipster.txt;15
16;blah whoever;2026-05-04T14:07:40;4653;../fake-data/blob/hipster.txt;16
17;tight unabashedly;2026-05-04T13:28:35;24398;../fake-data/blob/hipster.txt;17
18;slake belabor pish;2026-05-04T10:42:09;5561;../fake-data/blob/hipster.txt;18
19;ah serenade;2026-05-04T11:07:28;15372;../fake-data/blob/hipster.txt;19
20;drat spherical;2026-05-05T04:35:38;19953;../fake-data/blob/hipster.txt;20
21;outside;2026-05-04T20:30:11;1889;../fake-data/blob/hipster.txt;21
22;tenderly volunteer;2026-05-04T10:18:18;6732;../fake-data/blob/hipster.txt;22
23;and;2026-05-05T09:03:21;12414;../fake-data/blob/hipster.txt;23
24;at second-hand garrote;2026-05-05T03:01:43;26707;../fake-data/blob/hipster.txt;24
25;meanwhile generously;2026-05-05T05:08:00;30695;../fake-data/blob/hipster.txt;25
26;sidetrack better sure-footed;2026-05-04T18:13:48;13891;../fake-data/blob/hipster.txt;26
27;eggplant reapply midst;2026-05-05T05:01:50;29956;../fake-data/blob/hipster.txt;27
28;standard;2026-05-04T13:07:02;5097;../fake-data/blob/hipster.txt;28
29;slope thrifty hopelessly;2026-05-05T01:58:40;8367;../fake-data/blob/hipster.txt;29
30;trusting;2026-05-05T03:10:33;13808;../fake-data/blob/hipster.txt;30
