id;reference;date_transfert;statut;motif;boutique_origine_id;boutique_destination_id;utilisateur_id
1;gloom;2026-05-04T22:50:00;VALIDE;till monasticism yet;1;1;1
2;huzzah;2026-05-04T10:40:33;VALIDE;baritone fumigate;2;2;2
3;busily;2026-05-05T08:21:01;VALIDE;prohibition inwardly;3;3;1
4;fooey with unnecessarily;2026-05-05T01:45:33;VALIDE;zowie pfft;4;4;2
5;uh-huh fiddle slowly;2026-05-05T02:56:37;VALIDE;unless into overload;5;5;2
6;scoff;2026-05-04T18:19:49;ANNULE;before obedient geez;6;6;1
7;jaggedly;2026-05-04T23:44:28;BROUILLON;howl never within;7;7;1
8;ouch wealthy functional;2026-05-04T16:07:15;BROUILLON;yippee huzzah;8;8;1
9;solidly;2026-05-04T14:34:32;VALIDE;against;9;9;2
10;phew cash;2026-05-05T00:35:41;BROUILLON;considerate;10;10;1
11;majestically;2026-05-05T07:19:48;BROUILLON;lest;11;11;1
12;toward;2026-05-04T21:24:53;VALIDE;blah;12;12;2
13;anti obediently round;2026-05-04T15:22:00;BROUILLON;meh;13;13;2
14;before vice spice;2026-05-04T22:53:37;VALIDE;wearily circa annually;14;14;2
15;gee depend;2026-05-05T01:55:22;BROUILLON;oblong;15;15;2
16;regarding;2026-05-05T06:10:46;VALIDE;regarding clearly who;16;16;2
17;provision;2026-05-04T21:52:35;ANNULE;pigsty weary;17;17;2
18;rusty;2026-05-04T14:32:22;BROUILLON;times times only;18;18;2
19;aw;2026-05-04T17:57:32;BROUILLON;consequently;19;19;2
20;outlandish tuber to;2026-05-05T08:41:48;ANNULE;whose unless;20;20;2
21;however stool;2026-05-05T02:36:09;VALIDE;explode innovate solvency;21;21;1
22;overspend huzzah;2026-05-05T02:51:08;ANNULE;when;22;22;1
23;far across;2026-05-04T14:02:43;VALIDE;minus randomize promise;23;23;2
24;past toothpick afford;2026-05-05T03:08:40;BROUILLON;frequent urgently;24;24;2
25;yippee;2026-05-05T06:04:40;BROUILLON;quirkily electronics;25;25;2
26;zany outside unto;2026-05-05T03:04:42;BROUILLON;minus meanwhile rosin;26;26;2
27;potentially wealthy;2026-05-04T15:00:06;VALIDE;meaningfully malfunction overheard;27;27;2
28;needy consequently fearless;2026-05-04T15:23:19;VALIDE;nerve failing;28;28;2
29;parsnip squeaky shoulder;2026-05-05T02:54:24;ANNULE;piglet;29;29;2
30;where;2026-05-04T21:48:56;VALIDE;barring nor;30;30;2
