id;code;libelle;symbole
1;underneath finally;brightly;badly warmly
2;meh;huzzah;limply toward carefu
3;even;whoever density yieldingly;cultivated yuck juve
4;during humor or;confide;in cap
5;aside hmph since;before amidst psst;keenly that
6;before mountain;typify yahoo;hospitalization gast
7;stabilise wire;ah institutionalize;cod geez spear
8;spiteful;embed expense;during
9;zowie magnificent fo;psst sympathetically afford;deficient
10;huzzah;roasted across;gah
11;until;yuppify while wisely;bug mentor uncomfort
12;um;desk exacerbate what;unrealistic
13;wherever whenever;international;sometimes
14;unless atop ha;sniveling carelessly around;psst whose
15;portly;hornet;or woot disappointme
16;summer peaceful;hotfoot seemingly untried;thunderbolt supposin
17;excepting;foretell until the;gleaming valiantly p
18;naturally legitimize;although quirkily;hopeful
19;extension;focused;courageously
20;oh;scratchy gah;refer
21;punctually stake rin;appertain;unexpectedly
22;wherever;since intensely whose;kookily
23;amid;gym um amend;bin boo overwork
24;minor;ligate;even papa brook
25;to gee aw;out spherical lamp;given contrail oh
26;nougat expostulate t;innovate;times
27;fooey yum unnecessar;shabby;rural major
28;fuzzy quiet;versus;happy boohoo warmly
29;mmm excitedly;lumpy arid border;moor commercial crue
30;meanwhile gee yet;coil throughout yowza;matter
