id;numero_ticket;date_heure;statut;reference_passager;reference_carte_embarquement;montant_brut;montant_remise;montant_net;commentaire;boutique_id;locataire_id;vendeur_id
1;huzzah as;2026-05-04T10:13:12;RETOURNEE;resolve in near;wisely taut badly;17362.22;26994.61;31471.38;neatly;1;1;1
2;angrily;2026-05-04T23:32:52;BROUILLON;immediately lest;ew gosh;29384.4;18151.96;27662.46;zowie immediately;2;2;2
3;how;2026-05-04T12:07:35;AJUSTEE;governance provided;upon since impact;19755.35;1600.22;26430.97;on hmph;3;3;2
4;hamburger wherever;2026-05-05T05:43:00;VALIDEE;ew dim;quadruple where through;16729.38;11270.91;31533.57;making huzzah marvelous;4;4;1
5;handle;2026-05-05T06:07:22;AJUSTEE;whenever;qua;2218.9;6523.87;12370.6;gurn sugary;5;5;1
6;whoever till;2026-05-05T02:57:05;VALIDEE;famously around preside;ferociously;6964.74;28644.09;32485.49;instead chasuble who;6;6;2
7;from;2026-05-04T19:03:13;RETOURNEE;valiantly;aha highly lest;4850.05;5550.35;21051.06;boastfully ah;7;7;1
8;for vaguely nor;2026-05-05T00:34:35;VALIDEE;unkempt across;surprisingly;20209.44;206.9;8245.73;whoever incidentally;8;8;2
9;famously;2026-05-05T06:51:03;RETOURNEE;who optimistically righteously;times dutiful abaft;15271.63;7222.2;11536.15;angelic blah;9;9;2
10;personal gee;2026-05-04T16:57:33;RETOURNEE;gah including;burgeon;24500.56;9840.11;14689.18;well-worn;10;10;1
11;ha gladly;2026-05-04T18:32:01;ANNULEE;chatter confiscate proceed;bell;7954.25;18415.16;4002.87;highly better;11;11;2
12;afterwards into;2026-05-05T03:15:34;RETOURNEE;ha pfft ad;moral gadzooks loudly;3244.17;13854.09;22598.62;circa even whistle;12;12;1
13;marten er sunbathe;2026-05-04T13:26:16;RETOURNEE;who busily;to while versus;31100.48;16822.36;4483.02;duh mmm warmly;13;13;1
14;even;2026-05-04T16:17:13;ANNULEE;gee anti opposite;inside hm since;17793.75;20662.04;32729.52;now;14;14;1
15;yowza internalise sleet;2026-05-04T13:51:31;AJUSTEE;reconstitute whether failing;dearest;8296.43;12614.79;11391.19;actual oof;15;15;1
16;pulverize till;2026-05-05T05:29:03;RETOURNEE;versus wherever;spook;14895.82;17300.33;21431.65;dilate doodle gadzooks;16;16;2
17;failing;2026-05-05T00:11:19;VALIDEE;rundown valiantly who;although knottily aged;29099.62;19527.64;7657.92;which;17;17;2
18;lock;2026-05-04T17:20:09;VALIDEE;ew inasmuch inside;yuck fooey qua;10566.93;3289.72;19847.73;during elver somber;18;18;2
19;independence mathematics lest;2026-05-05T07:24:15;ANNULEE;notwithstanding ill;ethical;14470.63;25094.92;13925.01;ethical queasily yearly;19;19;2
20;woot idle;2026-05-04T14:52:40;BROUILLON;feminize comestible gape;schedule tinderbox upwardly;14863.42;29289.05;3469.75;equally fencing;20;20;2
21;sheepishly;2026-05-05T06:22:49;VALIDEE;what pace;hypothesise supposing ack;6347.27;21388.91;18466.16;secret runny unique;21;21;1
22;unlucky neat;2026-05-04T14:05:07;RETOURNEE;tensely;er as synergy;23633.96;12926.91;14943.33;into likable foretell;22;22;1
23;gadzooks fooey oh;2026-05-04T10:44:00;ANNULEE;gee;soap shiny gah;22897.23;20439.44;15531.32;atop;23;23;2
24;upbeat likewise decongestant;2026-05-05T05:43:12;VALIDEE;armoire;aboard until;3068.56;19455.63;28095.27;unto;24;24;1
25;eventually;2026-05-04T23:01:45;AJUSTEE;wisely underneath tiny;till smoke;21607.53;9145.85;15704.8;closely helpfully at;25;25;2
26;overfeed;2026-05-04T22:37:35;ANNULEE;energetic irresponsible;homely amend;13898.2;5297.78;5652.85;what;26;26;1
27;pro;2026-05-04T13:45:54;ANNULEE;lest;where since unless;456.57;13459.11;26542.48;exterior while joy;27;27;1
28;mmm once;2026-05-04T20:29:35;RETOURNEE;gadzooks;ha instead;21074.04;23251.2;15967.8;pave;28;28;2
29;afore when energetic;2026-05-04T13:44:07;RETOURNEE;stint rapidly tattered;since drat coaxingly;14975.8;19904.66;5071.85;than er;29;29;1
30;scientific;2026-05-04T16:03:05;AJUSTEE;sadly;moisten pry;10314.94;29393.64;13588.25;expatiate fooey;30;30;1
